rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
9310,801–1000,University of Northern British Columbia (UNBC),29.8–33.9,9310,19.1,1207,21.5,681,45.2,942,37.4,1482,45.9,776,Canada,3008,15.6,11%,63:37:00,University of Northern British Columbia (UNBC),"Geology, Environmental, Earth & Marine Sciences,Chemistry,Other Health,Mathematics & Statistics,Education,General Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Computer Science,Geography,Physics & Astronomy,Biological Sciences,Psychology,Agriculture & Forestry,Medicine & Dentistry,Economics & Econometrics,Archaeology,Politics & International Studies (incl Development Studies),Accounting & Finance,Business & Management,History, Philosophy & Theology,Civil Engineering",FALSE,FALSE
9320,801–1000,Northern Illinois University,29.8–33.9,9320,28.3,593,16.7,913,47.1,906,37.6,1399,51.2,645,United States of America,13768,14.4,7%,53:47:00,Northern Illinois University,"General Engineering,Sociology,History, Philosophy & Theology,Computer Science,Law,Psychology,Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Geography,Mechanical & Aerospace Engineering,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mathematics & Statistics,Agriculture & Forestry,Communication & Media Studies",FALSE,FALSE
9330,801–1000,Novosibirsk State University,29.8–33.9,9330,39.2,257,34,323,16.6,1515,39.2,1085,46.5,761,Russia,7276,6.3,22%,,Novosibirsk State University,"Languages, Literature & Linguistics,General Engineering,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Education,Mathematics & Statistics,Chemical Engineering,Psychology,History, Philosophy & Theology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Agriculture & Forestry,Business & Management,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Law,Other Health,Communication & Media Studies",FALSE,FALSE
9340,801–1000,Ohio University (Main campus),29.8–33.9,9340,27.6,618,18.8,807,55.7,751,38,1302,29.9,1275,United States of America,22682,20.1,4%,57:43:00,Ohio University (Main campus),"Psychology,Accounting & Finance,Chemistry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,General Engineering,Languages, Literature & Linguistics,Sociology,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Sport Science,Chemical Engineering,Geography,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Other Health",FALSE,FALSE
9350,801–1000,Old Dominion University,29.8–33.9,9350,23.2,863,19.5,766,47.4,895,36.9,1778,31.7,1204,United States of America,18368,17.5,3%,56:44:00,Old Dominion University,"Medicine & Dentistry,Other Health,Mathematics & Statistics,Education,Politics & International Studies (incl Development Studies),Sociology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Chemistry,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Computer Science,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Psychology,General Engineering,Geography,Economics & Econometrics,Accounting & Finance",FALSE,FALSE
9360,801–1000,Ozyegin University,29.8–33.9,9360,17.2,1464,20.1,742,46.6,912,41.2,825,48.8,698,Turkey,5958,27.2,7%,44:56:00,Ozyegin University,"Law,Psychology,Mechanical & Aerospace Engineering,Computer Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Communication & Media Studies,Politics & International Studies (incl Development Studies),Physics & Astronomy,Accounting & Finance,Mathematics & Statistics,Architecture,Business & Management,Economics & Econometrics,Civil Engineering",FALSE,FALSE
9370,801–1000,Pablo de Olavide University,29.8–33.9,9370,17.4,1439,16.7,914,51.2,831,37.5,1442,51,651,Spain,12849,14.4,18%,59:41:00,Pablo de Olavide University,"Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences,Geography,Sport Science,Languages, Literature & Linguistics,Law,Accounting & Finance,Chemical Engineering,Psychology,Archaeology,Communication & Media Studies,Chemistry,Business & Management,Education,Sociology,Politics & International Studies (incl Development Studies),Agriculture & Forestry,History, Philosophy & Theology,Computer Science,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
9380,801–1000,University of Palermo,29.8–33.9,9380,17.8,1380,21.9,669,56.3,732,37.5,1443,32,1192,Italy,32351,22.4,1%,58:42:00,University of Palermo,"Languages, Literature & Linguistics,Biological Sciences,Psychology,Architecture,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Electrical & Electronic Engineering,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Business & Management,Agriculture & Forestry,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Archaeology,Computer Science,Chemistry",FALSE,FALSE
9390,801–1000,Panjab University,29.8–33.9,9390,30.5,502,14.6,1059,60,667,37.5,1444,17.1,1768,India,18918,17.6,1%,41:59:00,Panjab University,"Chemistry,History, Philosophy & Theology,Accounting & Finance,Communication & Media Studies,Economics & Econometrics,Geography,Mechanical & Aerospace Engineering,Law,Psychology,Business & Management,Physics & Astronomy,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Computer Science,Sociology,Archaeology,Education,Mathematics & Statistics,Sport Science,Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Other Health,Electrical & Electronic Engineering,Biological Sciences",FALSE,FALSE
9400,801–1000,Panthéon-Sorbonne University – Paris 1,29.8–33.9,9400,34.5,365,32.1,381,18.4,1455,37.1,1622,62.8,444,France,35547,29,20%,61:39:00,Panthéon-Sorbonne University – Paris 1,"Business & Management,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Art, Performing Arts & Design,Archaeology,Mathematics & Statistics,Sociology,Geography",FALSE,FALSE
9410,801–1000,Parthenope University of Naples,29.8–33.9,9410,16.7,1530,20.3,732,63,607,38.1,1284,27.8,1354,Italy,11555,33.7,2%,42:58:00,Parthenope University of Naples,"Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sport Science,General Engineering,Mathematics & Statistics,Economics & Econometrics,Law,Business & Management,Civil Engineering,Accounting & Finance,Computer Science,Biological Sciences",FALSE,FALSE
9420,801–1000,Universiti Pendidikan Sultan Idris,29.8–33.9,9420,28.4,587,25.5,539,33.9,1135,99.9,15,61.7,458,Malaysia,5968,9.9,18%,55:45:00,Universiti Pendidikan Sultan Idris,"Sport Science,Business & Management,Psychology,Accounting & Finance,Sociology,Economics & Econometrics,Mathematics & Statistics,Education,Chemistry,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Computer Science,Geography",FALSE,FALSE
9430,801–1000,University of Peshawar,29.8–33.9,9430,30.5,503,10.8,1423,53.2,790,37,1695,42.2,896,Pakistan,6107,9,1%,32 : 68,University of Peshawar,"Art, Performing Arts & Design,Economics & Econometrics,Accounting & Finance,Physics & Astronomy,Geography,Archaeology,Psychology,Computer Science,Education,Chemistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Business & Management,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Mathematics & Statistics,Biological Sciences,Electrical & Electronic Engineering,Communication & Media Studies,General Engineering,Sociology",FALSE,FALSE
9440,801–1000,University of the Philippines,29.8–33.9,9440,21.4,1009,16.6,922,62.5,616,41.4,808,34.6,1116,Philippines,46714,10.6,0%,52:48:00,University of the Philippines,"Archaeology,Education,Psychology,Chemistry,Architecture,Computer Science,History, Philosophy & Theology,Chemical Engineering,Veterinary Science,Sociology,Economics & Econometrics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,Sport Science,Other Health,Law,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Medicine & Dentistry,Geography,Agriculture & Forestry",FALSE,FALSE
9450,801–1000,Universitat Politècnica de Catalunya,29.8–33.9,9450,27.3,635,19.3,779,43.8,957,43.5,645,58.7,504,Spain,22280,9.5,14%,27 : 73,Universitat Politècnica de Catalunya,"Electrical & Electronic Engineering,Other Health,Chemical Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture,Agriculture & Forestry,Civil Engineering,Mathematics & Statistics,Computer Science",FALSE,FALSE
9460,801–1000,Polytechnic University of Valencia,29.8–33.9,9460,25.7,706,21.8,675,38.4,1059,48.9,434,51.2,646,Spain,23406,12.7,14%,41:59:00,Polytechnic University of Valencia,"Other Health,Geography,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Civil Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
9470,801–1000,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),29.8–33.9,9470,28.1,600,25.6,537,30.9,1190,94.6,43,37.4,1031,Brazil,13453,18.7,3%,50:50:00,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Law,Communication & Media Studies,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Education,Chemistry,Architecture,Civil Engineering,Geography,Business & Management,Psychology,Economics & Econometrics,Physics & Astronomy,Chemical Engineering,Electrical & Electronic Engineering,Sociology",FALSE,FALSE
9480,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),29.8–33.9,9480,25.6,711,17.1,885,50.2,849,41.7,782,29.6,1284,Brazil,14096,21.3,1%,52:48:00,Pontifical Catholic University of Rio Grande do Sul (PUCRS),"Economics & Econometrics,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Computer Science,Sport Science,Electrical & Electronic Engineering,Architecture,Other Health,Communication & Media Studies,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Psychology,Education,Business & Management,General Engineering",FALSE,FALSE
9490,801–1000,Pontifical Javeriana University,29.8–33.9,9490,17.5,1425,11.1,1380,68.7,509,36.9,1780,43.6,846,Colombia,27346,14.2,2%,55:45:00,Pontifical Javeriana University Pontifical Xavierian University,"Physics & Astronomy,Electrical & Electronic Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Sociology,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Agriculture & Forestry,Mathematics & Statistics,Sport Science,Law,Chemistry,Education,Accounting & Finance,Geography,History, Philosophy & Theology,Business & Management,Communication & Media Studies,Economics & Econometrics,Psychology,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Architecture",FALSE,FALSE
9500,801–1000,University of Pretoria,29.8–33.9,9500,27.9,607,31.6,394,35.3,1106,44.2,602,54.9,575,South Africa,36492,21.7,7%,59:41:00,University of Pretoria UP,"Electrical & Electronic Engineering,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences,Sociology,Chemistry,Civil Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Computer Science,Geography,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemical Engineering,Archaeology,Psychology,Architecture,Sport Science,Languages, Literature & Linguistics,Education,Economics & Econometrics,Mathematics & Statistics,Other Health,Veterinary Science,Business & Management,Accounting & Finance,Law,General Engineering",FALSE,FALSE
